WD,HD,DT,WT,OR,WD*WD,HD*HD,DT*DT,WT*WT,OR*OR,WD*HD,WD*DT,WD*WT,WD*OR,HD*DT,HD*WT,HD*OR,DT*WT,DT*OR,WT*OR,
19,12,279,277,52.4,361,144,77841,76729,2745.76,228,5301,5263,995.6,3348,3324,628.8,77283,14619.6,14514.8,631375
18,10,279,277,66.5,324,100,77841,76729,4422.25,180,5022,4986,1197,2790,2770,665,77283,18553.5,18420.5,605375
23,8,284,281,86.2,529,64,80656,78961,7430.44,184,6532,6463,1982.6,2272,2248,689.6,79804,24480.8,24222.2,587250
22,8,290,286,86.8,484,64,84100,81796,7534.24,176,6380,6292,1909.6,2320,2288,694.4,82940,25172,24824.8,539250
18,13,294,290,75.3,324,169,86436,84100,5670.09,234,5292,5220,1355.4,3822,3770,978.9,85260,22138.2,21837,686125
22,8,299,295,79.3,484,64,89401,87025,6288.49,176,6578,6490,1744.6,2392,2360,634.4,88205,23710.7,23393.5,800625
21,10,302,298,70.5,441,100,91204,88804,4970.25,210,6342,6258,1480.5,3020,2980,705,89996,21291,21009,1077625
23,8,303,298,71.2,529,64,91809,88804,5069.44,184,6969,6854,1637.6,2424,2384,569.6,90294,21573.6,21217.6,1117500
22,8,297,293,83.2,484,64,88209,85849,6922.24,176,6534,6446,1830.4,2376,2344,665.6,87021,24710.4,24377.6,903250
18,13,295,291,80.2,324,169,87025,84681,6432.04,234,5310,5238,1443.6,3835,3783,1042.6,85845,23659,23338.2,738000
22,8,288,285,87.5,484,64,82944,81225,7656.25,176,6336,6270,1925,2304,2280,700,82080,25200,24937.5,591750
23,8,281,278,58.7,529,64,78961,77284,3445.69,184,6463,6394,1350.1,2248,2224,469.6,78118,16494.7,16318.6,635000
20,11,278,276,54.8,400,121,77284,76176,3003.04,220,5560,5520,1096,3058,3036,602.8,76728,15234.4,15124.8,701625
17,11,283,280,43.3,289,121,80089,78400,1874.89,187,4811,4760,736.1,3113,3080,476.3,79240,12253.9,12124,573625
22,9,285,282,83.2,484,81,81225,79524,6922.24,198,6270,6204,1830.4,2565,2538,748.8,80370,23712,23462.4,567875
23,7,289,285,86.1,529,49,83521,81225,7413.21,161,6647,6555,1980.3,2023,1995,602.7,82365,24882.9,24538.5,501875
18,13,296,291,80.8,324,169,87616,84681,6528.64,234,5328,5238,1454.4,3848,3783,1050.4,86136,23916.8,23512.8,770125
21,9,298,295,80.2,441,81,88804,87025,6432.04,189,6258,6195,1684.2,2682,2655,721.8,87910,23899.6,23659,803125
22,9,303,299,67.5,484,81,91809,89401,4556.25,198,6666,6578,1485,2727,2691,607.5,90597,20452.5,20182.5,1083250
23,8,303,298,68.7,529,64,91809,88804,4719.69,184,6969,6854,1580.1,2424,2384,549.6,90294,20816.1,20472.6,1091250
22,8,298,295,84.1,484,64,88804,87025,7072.81,176,6556,6490,1850.2,2384,2360,672.8,87910,25061.8,24809.5,842375
18,13,293,289,86.3,324,169,85849,83521,7447.69,234,5274,5202,1553.4,3809,3757,1121.9,84677,25285.9,24940.7,773625
22,8,286,283,85.6,484,64,81796,80089,7327.36,176,6292,6226,1883.2,2288,2264,684.8,80938,24481.6,24224.8,508000
21,10,282,280,75.7,441,100,79524,78400,5730.49,210,5922,5880,1589.7,2820,2800,757,78960,21347.4,21196,631875
22,9,277,275,76.1,484,81,76729,75625,5791.21,198,6094,6050,1674.2,2493,2475,684.9,76175,21079.7,20927.5,710000
18,11,277,274,56.4,324,121,76729,75076,3180.96,198,4986,4932,1015.2,3047,3014,620.4,75898,15622.8,15453.6,697500
